score,comment
3,"즤집은 모든 전자제품은 LG만 씁니다.LG에서 드럼세탁기가 처음 출시 됐을때 나왔던 그 제품으로 잘 써오다가,드디어 사망을...단종제품이라 부품교체도 안되고 해서, 간만에 신형 최대용량으로 구매했습니다.단품 구매기도 하고, 그래서 오브제보다, 즤 집엔 더 잘 어울리는 화이트로 구매했네요..사이즈가 크다 해서, 단 공사도 하고, 주문 후 날짜 지정 하니, 바로 지정 배송 해 주셨어요..뒷베란다 세탁실이 환~해 졌습니다.터치식이라 조작도 심플하고, 소음도 적고, 세탁 후 바로 건조기도 휘리릭~건조기는 사실 큰 필요성을 못 느껴서, 안샀었는데...사용하니 너무 편리 하네요..특별히 옷이 준다거나, 그렇진 않는것 같아요..다만, 인위적으로 건조 시키는것이기에 옷감의 손상은 있을 것 같아요..자연건조때보다 향도 더 좋고, 암튼 편하고 좋습니다."
5,너무나 기다리고 기다렷던 진짜 최적가 찾아서 얼마나 눈이 빠지기 ？f는지 몰라요 드디어구입 울집에 엘지워시타워가 올줄이야 너무 기뻣어요 오자마자 성능검사하고 설치까지 침절하기 하주셧고 설명도 잘해주시고 가셧어요 젤 좋은건 스팀이 되는것 사실때 꼭 스팀이 되는지 보고 사셔야해요 매일 이불털기하고 점퍼도 그날 입은건 스팀리프레쉬해서 바로 걸오 놓고 이리 좋은걸 왜 이제 샀나 싶어요 하루라도 빨리 사서 편하게 생활하세용 진짜좋은것 건조대가 거실에 나오지 않는거 그리고 집안 먼지가 확실히 안보여요 넘 넘 좋아요 강추 대박 인정~ 역시 엘지 건조 세탁기 빨리 마르고 주의에 건조기 옷 줄어든다는데 전 아직까짐 니트 돌려도 줄진 않앗어여 참고 하세용
5,"저처럼 LG 워시타워 제품 중에서 모델을 고민하실 분들을 위해 리뷰 작성합니다.

저는 올 여름부터 혼수를 준비하며 오브제 라인으로 다섯 군데 이상 상담 받고 결제까지 했었습니다. 그런데 베란다에 둘 세탁기까지 오브제로 맞추는 게 유의미한가 고민이 되더라구요. 정보의 홍수 속에서 열심히 찾아 비교해보고 오래 고민한 끝에, 베란다 세라믹 코트와 유사한 컬러에 단품으로도 할인 좋은 온라인 모델로 마음을 돌렸고, 실사용 중인 지금은 그 선택에 크게 만족하고 있습니다.

모델은 너무 다양한 데 비해 온라인 상 정보가 충분하지 않아 고민이 길고 힘들었습니다. 같은 고민을 하시는 분들은 잘 알아보시고 실사용 고민해보시면 후회하지 않는 선택 하실 수 있을 거예요. ."
5,"3주 사용후기입니다. 원하는 만큼 후기가 많지 않아 고민했는데 3주 사용해보고 건조기 없이 살수없는 몸이 되어버렸어요. 조작부가 가운데에 있는 편리함 못잃습니다. 구식 통돌이와 드럼세탁기 모두 사용해봤는데 워시타워는 기술혁신의 정점이 아닌가 하는 생각이 듭니다. 물을 많이 먹지 않고, 옷에 따라 혹은 양에따라 세탁을 할수있는 점이 굉장히 실용적입니다. 용량은 이보다 작은 것도 있지만 카페트 및 이불 빨래를 하다보니 최대용량을 선택한 것이 아주 잘 했다는 생각이듭니다.
설치된 걸보니, 세탁기 용량이 24kg이고 건조기 용량이 17kg이라 워시타워로 조립했을 때, 건조기 깊이가 더 짧습니다. 그래서 세탁기 수전이 뒤에 있는 곳에 설치하더라도 예상보다 공간에 여유가 생기게 되네요. 세탁기 설치공간이 부족할까 걱정했는데 아주 잘 설치받아 사용하고 있습니다."
5,"일단 설치원했던 예정일보다 좀 늦게와서 많이 기다렸지만제품 제고상태로 인해 그런거니 괜찮았습니다. 무엇보다도 찌는듯한 삼복더위에 힘드셨을텐데 웃는얼굴로 친절히 제품설치해주신 두분 기사님들 너무 감사드립니다. 제품 설치시 세탁실 폭이 너무 타이트해서 힘들었지만 다행히도 잘 설치해주셨구요, 마지막에 작동유무 및 시스템 정상가동 확인까지 해주시고, 기본적인 작동법도 친절히 설명해주셔서 너무 감사했습니다. 결혼 후 11년만에 통돌이에서 워시타워로 바꾼건데 작동시 저소음이라 너무 좋네요, 그리고 세탁시 건조기를 미리 예열해둘수있어서 건조시간을 단축시켜주는게 워시타워 최고의 매리트인거 같습니다~^^ 무더운 여름 습해서 빨래하고 건조하는게 스트래스였던 아내에게 선물해 준건데 너무 좋다고 만족하네요~! 망설이시는 분들 망설이지말고 이번 여름에 언넝 지르세요~ 빨래 걸레냄새여 안녕~~~~^^/아참! 마지막으로 에너지효율등급이 1등급이라 전기도 절약해주는 효자상품이네요ㅋ"
5,"우선 설치기사님들 너무 친절하시고 전문가들이시라 좋았습니다. 제품도 너무 편리해서 만족하구요. 그런데 '사전방문 기사님'(설치기사님들과 다른분)들 때문에 너무 화가나서 그분들말고 다른분들로 설치 부탁드린다고 콜센터에 남겼었습니다. 사전방문 기사님들 오셔서 대충대충 보시고 다용도실 문고리와 수전 사이 간격이 70cm보다 작은데 말씀드리기 전에는 알지도 못하고 재보지도 않고, 말씀드리고 나니까 문고리는 본인들이 못떼니까 전문가 불러서 미리 알아서 ? 놓으라고 하고 갔습니다. 그것때문에 열쇠도장업체 여러군데 전화해서 문의하고 난리도 아니었는데 알고보니 문 뒤 위쪽에 충격방지 장치만 드라이버로 간단히 빼면 되는 거였고, 설치기사님들도 오셔서 문고리도 설치기사가 원래 떼준다고 말씀하시니 진짜 헛고생해서 너무 화가났습니다. 도대체 이럴거면 사전방문은 왜 하는지, 그리고 문 뒤 충격방지장치 같은 건 경험 많으신 '사전방문'기사님이라면 분명 아실텐데 경력이 부족한건지 제품 설치하고자 하는 의지가 없는건지 정말 화가나서 취소할까까지 생각했습니다. 그리고 웹사이트 문의사항 보면 기존 세탁기 위 다용도실 선반도 미리 떼 놓으라고 나와서 낑낑대며 탄성코팅까지 상해가며 떼 놨는데, 설치기사님들은 이런것도 알아서 떼 주신다고 미리 고생하실것 없다고 하셨습니다. 설치관련 정보를 좀 제대로 써 놓았으면 좋겠습니다."
3,45일 정도 사용하고 후기 남겨요. 건조기는 너무 만족하는데 문제는 세탁기에 있어요. 소음 제법 있고 분명 수평은 잘 맞춰져 있다고 하는데 탈수시 문이 떨어질듯 덜컹커리면서 탈수 지연이 될 때가 많아요. 심하면 탈수 한번 하는데 20분도 걸려요. 하~~ 설명서에는 소량이거나 이불 카페트 등등 탈수시 그렇다는데 수건이랑 옷가지 넣었는데도 그래요. 쭈그리고 앉아서 일시정지 해서 빨래를 직접 펴서 넣기도 하니까 짜증이 나네요. as기사님 말이 워시타워가 예민해서 세탁기.건조기 직렬로 세웠을 때보다 더 그런 현상이 심하다네요. 그 어디에도 이런 정보는 없었는데 말이죠. 워시타워랑 각각 사서 직렬로 설치하는 것 사이에서 엄청 고민했는데 후회막심이네요.
5,"세탁실이 좁아서 기존에 사용하던 세탁기가 잘 나갈 수 있을지.. 또 새로운 워시타워가 들어올 수 있을지 정말 걱정이 많았어요. 엘베없는 4층집이라 사전 연락때 미리 올라오시기 힘들거라 말씀드렸더니 추가 비용 없이 사다리차 불러주셨고, 오셔서 창문 하나하나 떼고 준비해주셨어요.결론적으로 창문으로 세탁기는 나가고 워시타워 무리없이 잘 들어왔습니다^^ 상자채로 들어왔지만 창틀 안상하게 큰 카펫?같은것도 챙겨오셔서 설치 전후로 집에 상처 하나없었구요^^ 또 깔끔하게 창문 다시 조립?해주시고 세탁기위치도 최대한 움직이기 편하게 자리잡아주셔서 아주 편히 잘 사용하고 있습니다^^ 아무래도 오래된 집이라 세탁실에 콘센트가 2구짜리인데..1구는 보일러가 사용해서 멀티탭을 준비해놨었어요;; 근데 10A짜리라 건조기와 세탁기 동시사용 시 전원차단 될 수 있다하시며 16A짜리 멀티탭으로 교체하라는 설명도 들었어요. 저처럼 멀티탭 이용하실분은 16A짜리 멀티탭으로 준비하세요^^ (멀티탭에 암페어값이 다르다는거 이번에 처음 알았어요ㅎㅎ) // 워시타워는 구입해도 설치 불가한경우가 있어서, 사전점검팀이랑 설치팀이 나눠져있더라구요ㅎㅎ 제가 원래 구입은 6월10일에 했는데, 다음날 갑자기 출산을 하게 되서 7월초가 되어서 설치를 했어요; 미리 사전점검날짜를 정했는데 설치팀이랑 연동이 안되는건지 날짜바꾸는 얘기하는데 설치팀따로 점검팀따로 여러번 전화가와서 너무 헷갈렸어요. 최종적으로 난 7월초에 설치하겠다!!! 확정하고 얘기하니 제 일정에 최대한 맞춰서 해주셨는데;; 설치팀과 점검팀이 따로있는걸 모르는 구매자는 통화할때마다 이사람이 그사람인가..? 이사람은 누구지?하며 헷갈릴수밖에 없었답니다ㅎㅎㅎ
사전점검을 하고도 실제 설치는 더 늦어질수도 있다는점 꼭 기억해주시고^^; 저처럼 설치팀이 와서 사전점검까지 스트레이트로 해버리고 그자리에서 바로 설치해주시는 경우도 있다는점ㅎㅎㅎ 참고 해주세요^^ 설치 후 건조기의 신세계를 경험하고 있는 3일차 사용자의 후기였습니다^^ ..아참!! 이제 고효율가전제품 환급신청하러 가야겠어요^^"
5,"트롬 드럼 세탁기를 6년째 쓰고 있었어요. 통을 고정해주는게 고장나서 수리하는데 30만원쯤 내야하고 당장 빨래는 해야하니 임시로 쓸수 있게 처치해주신게 벌써 1년이 다 되었네요. 탈수가 6분 남겨놓고 되지 않았고 끼이익 끼이익 소음마저 심해서 이제 더 구매를 미룰 수가 없게 되었어요.
다른 사이트에서 핫딜을 결제하려다 품절돼서 안타까운
와중에 ssg에서 핫딜이 떠서 바로 구매했습니다!
인터넷서 핫딜로 사기 치는 것을 많이 봤는데 이 업체는 후기가 많아 믿음이 갔네요.
일욜 자정 전에 결제했는데 구매 순간부터 주문 접수됐다는 톡이 바로바로 안내되어 믿음이 갔구요!
화욜 아침 8시에 기사님이 사전설치 점검하러 오신다는 것을 제가 시간이 안돼서 목욜쯤 방문 부탁드렸어요.
목욜 아침에 기사님이 사전점검과 설치 동시에 진행해주시겠다고 전화주셔서 번거롭지 않아 더 좋았습니다.
두 분이서 오셔서 조심조심 설치 잘해주셨구요
ㅎㅎ
설치하고 나서 보니 ㅎㅎ
사실 이백만원이 훌쩍 넘어 구매가 망설여지긴 했지만
설치되고 나니 너무 예뻐서 왜 고민했나 싶었어요ㅎㅎ
설치하고 시운전까지 해주시고 가셨고, 가신 후에 건조기 윗부분 합판 부분이 좀 사이가 뜨고 흔들려서 불량인건가 싶어 문자 드렸더니 대리점 가셔서 확인해보면 물건 자체가 확 고정되게 출시되지 않았다고 하셔서 일단 넘어가기로 했습니다.
와이파이 잡고 원격제어 하는 것도 넘 좋구요.
제가 구매하고 나서 제가 산 가격으로는 핫딜도 안뜨고
배송일자도 한달 뒤 써 있고 해서 구매시기를 잘 맞췄구나 싶어서 안도하고 있습니다^^
이 !!!
, 빠른 배송 감사합니당♥?"
5,세탁기가 오래되다보니 작동에 문제가 있어 고인하다 구입한 워시타워. 과연 건조기를 쓸까? 란 고민 진짜 많았으나 그래도 기왕 사는거 세트로 구입하면 좋지 않을까란 생각에 구입했습니다. 건조기는 수건건조와 이불털기기능 넘 좋습니다. 그리고 양말 널기 귀찮았는데 자잘한 빨래건조 진짜 좋아요. 그러나 면티는 줄까봐 건조기 사용이 조심스럽습니다. 세탁기는 용량이 커서 카페트는무리 없이 세탁가능 할 줄 알았는데 역시 무리였네요. 탈수가 안되요. 설치 기사님이 이불은 하나씩 돌리라는 이유를 알겠더라구요. 하지만 대체로 맘에 들고 예쁩니다. 빨래무게에 따라 시간이 많이 단축되기도 하고 확실히 최신 세탁기구나란 생각이 듭니다.
5,"3월 7일에 주문하고 선거일 빨간날 오셔서 실측 해주시고 바로 다음날 3월 10일에 배송설치 받았어요.
세탁기가 탈수기능이 위태위태 했서 빨리 배송되길 바랬는데 이정도로 빨리 올줄은 몰랐어서 배송은 정말 만족스러웠습니다.

인터넷으로 가전구매는 처음이라 좀 걱정이 많았어서 설치해주시는분께 이것저것 여쭤보고 상담원 통해서도 질문을 많이 했는데 구매에 후회없이 말씀을 잘 해주셔서 걱정을 조금 내려놓고 배송을 기다렸어요.

제품은 일단
무게 자동으로 측정해서 세탁시간도 단축시켜주고 아주 똑똑한 가전이에요 11년된 세탁기를 쓰다 새거를 써서 그런지 더 조용하고 잘 빨리는것 같아요 용량도 커서 킹사이즈 이불도 문제없이 잘 빨리네요 너무 좋습니다.

건조기는 기존에 9키로 사용하다 17키로를 쓰니 왜 거거익선이라 하는지 알것같아요 그리고 스타일러 따로 구매할필요 없을것같아요
세탁기 작동시에 건조준비 해놓으면 알아서 예열해서 건조시간도 단축시켜준다고 해서 오~~ 했는데
저는 기본 표준세탁후에 헹굼탈수를 여러번 더 돌리는데 헹굼탈수 할때는
그부분은 조금 아쉬웠지만 제 습관의 문제이니 다른분들은 크게 불편하지 않으실것 같아요

그리고 외관은 정말 .
백화점에서 오브제보고 색상이 좀 질리고 스크레치에 약할것 같아서 구매가 망설여지는 부분이 있었는데 오브제 아닌 트롬워시타워는 화이트가 순백색이라 주저않고 주문했어요
질리지 않고 깔끔하게 오래 쓸수 있을것 같아요.

.
몇백만원이나 하는 가전제품을 인터넷으로 주문하는것 부터가 걱정스러운 부분이 많았지만 주문부터 실측 배송 설치까지 어느하나 문제없이 잘 . 계시다면 사세요"
